Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details
zoo;hayvonot bog‘i;;A1;noun;animals;Details
pet;uy hayvoni;;A1;noun;animals;Details
sheep;qo‘y;;A1;noun;animals;Details
pig;cho‘chqa;;A1;noun;animals;Details
horse;ot;;A1;noun;animals;Details
fish;baliq;ANIMAL;A1;noun;animals;Details
dog;it;;A1;noun;animals;Details
animal;hayvon;NOT A HUMAN;A1;noun;animals;Details
cow;sigir;;A1;noun;animals;Details
cat;mushuk;;A1;noun;animals;Details
bird;qush;;A1;noun;animals;Details
bear;ayiq;;A2;noun;animals;Details
chicken;tovuq;BIRD;A2;noun;animals;Details
dinosaur;dinozavr;;A2;noun;animals;Details
duck;o‘rdak;;A2;noun;animals;Details
elephant;fil;;A2;noun;animals;Details
insect;hasharot;;A2;noun;animals;Details
lion;sher;;A2;noun;animals;Details
monkey;maymun;;A2;noun;animals;Details
mouse;sichqon;ANIMAL;A2;noun;animals;Details
rabbit;quyon;;A2;noun;animals;Details
rat;kalamush;;A2;noun;animals;Details
snake;ilon ;;A2;noun;animals;Details
band;guruh;;A1;noun;arts and media;Details
ad;reklama;;A1;noun;arts and media;Details
movie;kino;PICTURE;A1;noun;arts and media;Details
guitar;gitara;;A1;noun;arts and media;Details
the movies;kino;;A1;phrase;arts and media;Details
page;;PAPER;A1;noun;arts and media;Details
picture;;DRAWING, ETC.;A1;noun;arts and media;Details
newspaper;;TO READ;A1;noun;arts and media;Details
group;;MUSIC;A1;noun;arts and media;Details
camera;;;A1;noun;arts and media;Details
book;;FOR READING;A1;noun;arts and media;Details
music;;SOUNDS;A1;noun;arts and media;Details
radio;;EQUIPMENT;A1;noun;arts and media;Details
photo;;;A1;noun;arts and media;Details
the radio;;;A1;phrase;arts and media;Details
advertisement;;;A2;noun;arts and media;Details
dancer;;;A2;noun;arts and media;Details
painter;;;A2;noun;arts and media;Details
poster;;;A2;noun;arts and media;Details
painting;;PICTURE;A2;noun;arts and media;Details
cartoon;;FILM;A2;noun;arts and media;Details
channel;;TV;A2;noun;arts and media;Details
clown;;;A2;noun;arts and media;Details
comic;;;A2;noun;arts and media;Details
concert;;;A2;noun;arts and media;Details
drum;;;A2;noun;arts and media;Details
instrument;;MUSIC;A2;noun;arts and media;Details
keyboard;;MUSICAL INSTRUMENT;A2;noun;arts and media;Details
magazine;;;A2;noun;arts and media;Details
photograph;;;A2;noun;arts and media;Details
piano;;;A2;noun;arts and media;Details
program;;TV/RADIO;A2;noun;arts and media;Details
song;;;A2;noun;arts and media;Details
stage;;THEATER;A2;noun;arts and media;Details
star;;PERFORMER;A2;noun;arts and media;Details
violin;;;A2;noun;arts and media;Details
art;;PAINTINGS/DRAWINGS, ETC.;A2;noun;arts and media;Details
hip-hop;;;A2;noun;arts and media;Details
jazz;;;A2;noun;arts and media;Details
photography;;;A2;noun;arts and media;Details
pop;;;A2;noun;arts and media;Details
rap;;;A2;noun;arts and media;Details
rock;;MUSIC;A2;noun;arts and media;Details
opera;;;A2;noun;arts and media;Details
musical;;RELATED TO MUSIC;A2;adjective;arts and media;Details
classical music;;;A2;phrase;arts and media;Details
nose;burun;ON FACE;A1;noun;body and health;Details
leg;oyoq;;A1;noun;body and health;Details
ear;quloq;BODY PART;A1;noun;body and health;Details
arm;qo'l;BODY;A1;noun;body and health;Details
good for you;siz uchun yaxshi;;A1;phrase;body and health;Details
well;;HEALTHY;A1;adjective;body and health;Details
fine;;WELL;A1;adjective;body and health;Details
tooth;;IN MOUTH;A1;noun;body and health;Details
mouth;;;A1;noun;body and health;Details
head;;BODY;A1;noun;body and health;Details
foot;;BODY PART;A1;noun;body and health;Details
face;;HEAD;A1;noun;body and health;Details
hand;;BODY PART;A1;noun;body and health;Details
eye;;BODY PART;A1;noun;body and health;Details
body;;PERSON;A1;noun;body and health;Details
OK;;NOT SICK/UPSET, ETC.;A1;adjective;body and health;Details
accident;;BAD EVENT;A2;noun;body and health;Details
brain;;BODY PART;A2;noun;body and health;Details
finger;;ON HAND;A2;noun;body and health;Details
headache;;;A2;noun;body and health;Details
heart;;ORGAN;A2;noun;body and health;Details
neck;;PART OF BODY;A2;noun;body and health;Details
stomach;;;A2;noun;body and health;Details
toe;;ON FOOT;A2;noun;body and health;Details
blood;;RED LIQUID;A2;noun;body and health;Details
health;;;A2;noun;body and health;Details
bandage;;;A2;noun;body and health;Details
birth;;BABY;A2;noun;body and health;Details
medicine;;SUBSTANCE;A2;noun;body and health;Details
pain;;PHYSICAL;A2;noun;body and health;Details
stomachache;;;A2;noun;body and health;Details
toothache;;;A2;noun;body and health;Details
hurt;;BE PAINFUL;A2;verb;body and health;Details
cigarette;;;A2;noun;body and health;Details
healthy;;WELL;A2;adjective;body and health;Details
fit;;;A2;adjective;body and health;Details
sick;;;A2;adjective;body and health;Details
break your arm/leg, etc.;;;A2;phrase;body and health;Details
a broken arm/leg, etc.;;;A2;phrase;body and health;Details
pants;shim;;A1;noun;clothes;Details
boot;etik;;A1;noun;clothes;Details
shoe;poyabzal;;A1;noun;clothes;Details
wear;kiymoq;CLOTHES;A1;verb;clothes;Details
T-shirt;futbolka;;A1;noun;clothes;Details
skirt;yubka;;A1;noun;clothes;Details
blouse;bluzka;;A1;noun;clothes;Details
clothes;;;A1;;clothes;Details
jeans;;;A1;noun;clothes;Details
glasses;;;A1;noun;clothes;Details
watch;;;A1;noun;clothes;Details
shirt;;;A1;noun;clothes;Details
jacket;;;A1;noun;clothes;Details
hat;;;A1;noun;clothes;Details
coat;;;A1;noun;clothes;Details
dress;;;A1;noun;clothes;Details
sweater;;;A2;noun;clothes;Details
belt;;CLOTHING;A2;noun;clothes;Details
bracelet;;;A2;noun;clothes;Details
cap;;;A2;noun;clothes;Details
earring;;;A2;noun;clothes;Details
glove;;;A2;noun;clothes;Details
necklace;;;A2;noun;clothes;Details
pocket;;IN CLOTHING;A2;noun;clothes;Details
raincoat;;;A2;noun;clothes;Details
ring;;JEWELRY;A2;noun;clothes;Details
scarf;;;A2;noun;clothes;Details
sneaker;;;A2;noun;clothes;Details
sock;;;A2;noun;clothes;Details
suit;;;A2;noun;clothes;Details
swimsuit;;;A2;noun;clothes;Details
tie;;CLOTHES;A2;noun;clothes;Details
umbrella;;;A2;noun;clothes;Details
jewelry;;;A2;noun;clothes;Details
shorts;;;A2;noun;clothes;Details
sunglasses;;;A2;noun;clothes;Details
tights;;;A2;noun;clothes;Details
a change of clothes;;;A2;phrase;clothes;Details
cross;kesishmoq;MARK;A1;noun;communication;Details
Would you like ...?;... xohlaysizmi?;;A1;phrase;communication;Details
would like sth/to do sth;...ni xohlamoq/...ni qilishni xohlamoq;;A1;phrase;communication;Details
Don't worry (about sth);(biror narsa haqida) xavotir olmang;;A1;phrase;communication;Details
see you later/soon/tomorrow, etc.;keyinroq/tez orada/ertaga va h.k. ko'rishguncha;;A1;phrase;communication;Details
happy birthday/New Year, etc.;tug'ilgan kuningiz/Yangi yilingiz va h.k. bilan;;A1;phrase;communication;Details
(that's) fine;(bu) yaxshi;;A1;phrase;communication;Details
as well;ham;;A1;phrase;communication;Details
letter;xat;MESSAGE;A1;noun;communication;Details
really;rostdan;VERY GREAT;A1;adverb;communication;Details
say;aytmoq;SPEAK;A1;verb;communication;Details
oh;oh;EXPRESS EMOTION;A1;exclamation;communication;Details
all right;yaxshi;;A1;exclamation;communication;Details
see you soon;tez orada ko'rishguncha;;A1;phrase;communication;Details
see you;rishguncha;;A1;phrase;communication;Details
of course;albatta;;A1;phrase;communication;Details
or;;POSSIBILITIES;A1;;communication;Details
but;;;A1;;communication;Details
because;;;A1;;communication;Details
note;;LETTER;A1;noun;communication;Details
no;;NEGATIVE ANSWER;A1;adverb;communication;Details
number;;SHOWING SOMETHING;A1;noun;communication;Details
name;;CALL;A1;noun;communication;Details
sorry;;APOLOGY;A1;adjective;communication;Details
message;;INFORMATION;A1;noun;communication;Details
dear;;IN LETTERS;A1;adjective;communication;Details
language;;ENGLISH/SPANISH/JAPANESE, ETC.;A1;noun;communication;Details
answer;;REACTION;A1;noun;communication;Details
conversation;;;A1;noun;communication;Details
speak;;SAY WORDS;A1;verb;communication;Details
read;;WORDS;A1;verb;communication;Details
ask;;QUESTION;A1;verb;communication;Details
writing;;SKILL;A1;noun;communication;Details
reading;;;A1;noun;communication;Details
tell;;SPEAK;A1;verb;communication;Details
talk;;SAY;A1;verb;communication;Details
invite;;SOCIAL;A1;verb;communication;Details
word;;LANGUAGE UNIT;A1;noun;communication;Details
sentence;;WORD GROUP;A1;noun;communication;Details
yes;;ANSWER;A1;adverb;communication;Details
question;;ASKING;A1;noun;communication;Details
pencil;;;A1;noun;communication;Details
very;;EMPHASIS;A1;adverb;communication;Details
pen;;;A1;noun;communication;Details
all;;EVERY ONE;A1;determiner;communication;Details
thanks;;THANK YOU;A1;exclamation;communication;Details
thank you;;GRATEFUL;A1;exclamation;communication;Details
please;;;A1;exclamation;communication;Details
hi;;;A1;exclamation;communication;Details
hello;;ON PHONE;A1;exclamation;communication;Details
goodbye;;;A1;exclamation;communication;Details
bye;;;A1;exclamation;communication;Details
good night;;;A1;exclamation;communication;Details
good morning;;;A1;exclamation;communication;Details
good evening;;;A1;exclamation;communication;Details
good afternoon;;;A1;exclamation;communication;Details
how many;;;A1;phrase;communication;Details
Would you like...?;;;A1;phrase;communication;Details
see you later;;;A1;phrase;communication;Details
How are you?;;;A1;phrase;communication;Details
Don't forget...;;;A1;phrase;communication;Details
for example;;;A1;phrase;communication;Details
Excuse me;;ATTRACTING ATTENTION;A1;phrase;communication;Details
(Good) morning;;;A1;phrase;communication;Details
so;;SENTENCE BEGINNING;A2;;communication;Details
meeting;;;A2;noun;communication;Details
spelling;;;A2;noun;communication;Details
identification;;DOCUMENT;A2;noun;communication;Details
information;;;A2;noun;communication;Details
invitation;;SOCIAL;A2;noun;communication;Details
capital letter;;;A2;noun;communication;Details
card;;GREETINGS;A2;noun;communication;Details
document;;OFFICIAL INFORMATION;A2;noun;communication;Details
envelope;;;A2;noun;communication;Details
file;;INFORMATION;A2;noun;communication;Details
form;;DOCUMENT;A2;noun;communication;Details
ID card;;;A2;noun;communication;Details
license;;;A2;noun;communication;Details
list;;;A2;noun;communication;Details
notebook;;;A2;noun;communication;Details
notice;;SIGN;A2;noun;communication;Details
offer;;SAYING YOU WILL DO/GIVE;A2;noun;communication;Details
postcard;;;A2;noun;communication;Details
sign;;NOTICE;A2;noun;communication;Details
stamp;;;A2;noun;communication;Details
story;;DESCRIPTION;A2;noun;communication;Details
verb;;;A2;noun;communication;Details
advice;;;A2;noun;communication;Details
grammar;;;A2;noun;communication;Details
mail;;LETTERS;A2;noun;communication;Details
news;;INFORMATION;A2;noun;communication;Details
chat;;;A2;noun;communication;Details
ID;;;A2;noun;communication;Details
vocabulary;;;A2;noun;communication;Details
directions;;;A2;noun;communication;Details
pray;;TO GOD;A2;verb;communication;Details
describe;;;A2;verb;communication;Details
discuss;;;A2;verb;communication;Details
mean;;MEANING;A2;verb;communication;Details
print;;WRITING/IMAGES;A2;verb;communication;Details
put;;WRITE;A2;verb;communication;Details
thank;;;A2;verb;communication;Details
agree;;SAME OPINION;A2;verb;communication;Details
explain;;;A2;verb;communication;Details
guess;;ANSWER/OPINION;A2;verb;communication;Details
shout;;;A2;verb;communication;Details
spell;;;A2;verb;communication;Details
sure;;AGREEMENT;A2;adverb;communication;Details
unfortunately;;;A2;adverb;communication;Details
actually;;TRUTH;A2;adverb;communication;Details
badly;;VERY MUCH;A2;adverb;communication;Details
certainly;;NO DOUBT;A2;adverb;communication;Details
clearly;;EASY;A2;adverb;communication;Details
especially;;;A2;adverb;communication;Details
anyway;;DESPITE;A2;adverb;communication;Details
maybe;;SUGGEST;A2;adverb;communication;Details
hey;;;A2;exclamation;communication;Details
wow;;;A2;exclamation;communication;Details
yeah;;;A2;exclamation;communication;Details
welcome;;;A2;exclamation;communication;Details
could;;REQUEST;A2;modal verb;communication;Details
No problem.;;WILL DO;A2;phrase;communication;Details
Take care!;;;A2;phrase;communication;Details
Guess what?;;;A2;phrase;communication;Details
best wishes;;;A2;phrase;communication;Details
give sb a call/ring;;;A2;phrase;communication;Details
would love sth/to do sth;;;A2;phrase;communication;Details
would love to (do sth);;;A2;phrase;communication;Details
I mean;;;A2;phrase;communication;Details
How do you do?;;;A2;phrase;communication;Details
pleased to meet you;;;A2;phrase;communication;Details
Really?;;;A2;phrase;communication;Details
call back (sb) or call (sb) back;;;A2;phrasal verb;communication;Details
How/What about?;;SUGGESTION;A2;phrase;communication;Details
I'm afraid...;;;A2;phrase;communication;Details
all the best;;;A2;phrase;communication;Details
that's all right;;;A2;phrase;communication;Details
as well as;;;A2;phrase;communication;Details
of course not;;;A2;phrase;communication;Details
Oh dear!;;;A2;phrase;communication;Details
details;;;A2;phrase;communication;Details
don't you?/do you?/doesn't she?/does she?, etc.;;;A2;phrase;communication;Details
Do you mind ...?;;;A2;phrase;communication;Details
Help!;;;A2;phrase;communication;Details
How about...?;;;A2;phrase;communication;Details
if not;;;A2;phrase;communication;Details
if you like;;;A2;phrase;communication;Details
instructions;;;A2;phrase;communication;Details
let sb know;;;A2;phrase;communication;Details
let's;;;A2;phrase;communication;Details
let sb know (sth);;;A2;phrase;communication;Details
What is sb/sth like?;;;A2;phrase;communication;Details
love/(with) love/all my love/lots of love;;;A2;phrase;communication;Details
I don't mind;;;A2;phrase;communication;Details
never mind;;;A2;phrase;communication;Details
no thanks;;;A2;phrase;communication;Details
Oh no!;;;A2;phrase;communication;Details
not too;;;A2;phrase;communication;Details
notes;;;A2;phrase;communication;Details
a pity;;;A2;phrase;communication;Details
and so on;;;A2;phrase;communication;Details
or something (like that);;;A2;phrase;communication;Details
such a(n);;;A2;phrase;communication;Details
such as;;;A2;phrase;communication;Details
I suppose;;;A2;phrase;communication;Details
tell sb to do sth;;;A2;phrase;communication;Details
by the way;;;A2;phrase;communication;Details
