Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details;
cattle;mol-qora;;B1;;animals;Details;
like;sevmoq, yoqtirmoq;;B1;;;Details;
although;garchi;BUT;B1;;communication;Details;
and;va;EMPHASIZE;B1;;communication;Details;
or;yoki;WARNING;B1;;communication;Details;
close;yaqin, yopmoq;;B1;;describing things;Details;
second;ikkinchi;ANOTHER;B1;;describing things;Details;
after;keyin;;B1;;;Details;
as;kabi, singari;BEING OR APPEARING;B1;;;Details;
before;oldin;TO AVOID SOMETHING;B1;;;Details;
but;lekin;EXPLAINING WHY;B1;;;Details;
if;agar;ALWAYS;B1;;;Details;
plus;qo'shimcha;;B1;;;Details;
since;shuningdek, qachondan beri;TIME;B1;;;Details;
while;vaqtida, paytida;COMPARING;B1;;communication;Details;
zero;nol;TEMPERATURE;B1;;natural world;Details;
though;garchi;DESPITE;B1;;;Details;
till;gacha;;B1;;;Details;
unless;agar ... bo'lmasa;;B1;;;Details;
until;endi, qadar;TIME;B1;;;Details;
whenever;qachon ... bo'lsa ham;EVERY TIME;B1;;;Details;
wherever;qayerda ... bo'lsa ham;EVERY PLACE;B1;;;Details;
whether;yoki, ekanligidan qat'iy nazar;IF;B1;;;Details;
yet;hali ham, lekin;;B1;;;Details;
goalkeeper;darvozabon;;B1;noun;shopping;Details;
soap opera;teleseryal;;B1;noun;arts and media;Details;
lab;laboratoriya;;B1;noun;homes and buildings;Details;
cash;naqd pul;MONEY;B1;noun;money;Details;
note;eslatma, qayd;;B1;verb;people: actions;Details;
mate;do'st;;B1;noun;relationships;Details;
depart;ketmoq, jo'nab ketmoq;;B1;verb;travel;Details;
bike;velosiped;MOTORCYCLE;B1;noun;travel;Details;
permit;ruxsat;;B1;verb;;Details;
ages;asrlar, davr;;B1;noun;;Details;
bunch;tugun, guruh;PEOPLE;B1;noun;;Details;
make;yasash, tuzmoq;ARRIVE;B1;verb;;Details;
revision;qayta ko'rib chiqish;;B1;noun;education;Details;
disagree;rozi bo'lmaslik;;B1;verb;communication;Details;
dislike;yoqtirmaslik;;B1;verb;people: personality;Details;
interval;oraliq;THEATRE;B1;noun;arts and media;Details;
replace;almashtirmoq;USE INSTEAD;B1;verb;people: actions;Details;
criminal;jinoyatchi;;B1;noun;crime;Details;
performance;bajarish, ijro;ENTERTAINMENT;B1;noun;arts and media;Details;
appearance;ko'rinish;WAY YOU LOOK;B1;noun;people: appearance;Details;
assistant;yordemchi;LESS IMPORTANT JOB;B1;noun;work;Details;
conference;konferentsiya;;B1;noun;communication;Details;
performer;ijrochi;;B1;noun;arts and media;Details;
reader;o'quvchi;PERSON;B1;noun;communication;Details;
examiner;tekshiruvchi;;B1;noun;education;Details;
dishwasher;idish yuvgich;;B1;noun;food and drink;Details;
freezer;muzlatgich;;B1;noun;food and drink;Details;
heater;isitgich;;B1;noun;homes and buildings;Details;
leader;rahbar;PERSON IN CONTROL;B1;noun;politics;Details;
lover;sevgili;SEX;B1;noun;relationships;Details;
partner;hamkor;RELATIONSHIP;B1;noun;relationships;Details;
diver;suvga sildiruvchi;;B1;noun;shopping;Details;
keeper;saqlovchi;FOOTBALL;B1;noun;shopping;Details;
server;server;;B1;noun;technology;Details;
backpacker;sayohatchi;;B1;noun;travel;Details;
babysitter;bolalar parvarishchisi;;B1;noun;work;Details;
barber;sartarosh;;B1;noun;work;Details;
builder;qurilishchi;;B1;noun;work;Details;
employer;ish beruvchi;;B1;noun;work;Details;
firefighter;yong'in söndiruvchi;;B1;noun;work;Details;
officer;xodim;POSITION OF AUTHORITY;B1;noun;work;Details;
recording;yozuv;MUSIC/SPEECH;B1;noun;arts and media;Details;
feeling;his;PHYSICAL SENSE;B1;noun;body and health;Details;
ending;tugash;WORD;B1;noun;communication;Details;
greeting;salomlashish;;B1;noun;communication;Details;
handwriting;qo'l yozuvi;;B1;noun;communication;Details;
meaning;ma'no;EXPRESS;B1;noun;communication;Details;
central heating;markaziy isitish;;B1;noun;homes and buildings;Details;
lightning;chaqmoq;;B1;noun;natural world;Details;
ironing;ütüla?;;B1;noun;people: actions;Details;
boxing;boks;;B1;noun;shopping;Details;
ice skating;muz ustida skaiting;;B1;noun;shopping;Details;
crossing;kesishma;WHERE PEOPLE CROSS;B1;noun;travel;Details;
backpacking;sayohat qilish;;B1;noun;travel;Details;
parking;parking;;B1;noun;travel;Details;
booking;band qilish;;B1;noun;travel;Details;
farming;dehqonchilik;;B1;noun;work;Details;
animation;animatsiya;;B1;noun;arts and media;Details;
exhibition;ko'rgazma;;B1;noun;arts and media;Details;
presentation;prezentatsiya;EVENT;B1;noun;communication;Details;
communication;kommunikatsiya;;B1;noun;communication;Details;
punctuation;punktuatsiya;;B1;noun;communication;Details;
registration;ro'yxatga olish;;B1;noun;communication;Details;
description;tavsif;;B1;noun;communication;Details;
discussion;muzokar?;;B1;noun;communication;Details;
explanation;izoh;;B1;noun;communication;Details;
pronunciation;talaffuz;;B1;noun;communication;Details;
admission;qabul;MONEY;B1;noun;money;Details;
pollution;ifloslanish;;B1;noun;natural world;Details;
decision;qaror;;B1;noun;people: actions;Details;
action;harakat;ACTIVITY;B1;noun;people: actions;Details;
preparation;tayyorlov;GETTING READY;B1;noun;people: actions;Details;
imagination;tasavvur;ABILITY;B1;noun;people: personality;Details;
election;saylov;;B1;noun;politics;Details;
relation;munosabat;FAMILY MEMBER;B1;noun;relationships;Details;
celebration;bayram;;B1;noun;relationships;Details;
position;lavozim;SPORT;B1;noun;shopping;Details;
destination;manzil;;B1;noun;travel;Details;
expedition;ekspedsiya;;B1;noun;travel;Details;
reservation;band qilish;BOOKING;B1;noun;travel;Details;
immigration;immigratsiya;PLACE;B1;noun;travel;Details;
organization;tashkilot;GROUP;B1;noun;work;Details;
cyclist;velosiped haydovchisi;;B1;noun;travel;Details;
quantity;miqdor;AMOUNT;B1;noun;describing things;Details;
security;xavfsizlik;PROTECTION;B1;noun;politics;Details;
relative;qarindosh;;B1;noun;relationships;Details;
organize;tashkil etmoq;PLAN;B1;verb;people: actions;Details;
realize;anglamoq;UNDERSTAND;B1;verb;people: personality;Details;
entertainment;ko'ngilochar;;B1;noun;arts and media;Details;
argument;bahs;DISAGREEMENT;B1;noun;communication;Details;
development;rivojlanish;PROCESS;B1;noun;people: actions;Details;
achievement;yutuq;;B1;noun;people: actions;Details;
disappointment;umidsizlik;PERSON/THING;B1;noun;people: personality;Details;
excitement;heyajon;;B1;noun;people: personality;Details;
equipment;uskunalar;;B1;noun;technology;Details;
employment;ish bilan ta'minlash;;B1;noun;work;Details;
illness;kasallik;DISEASE;B1;noun;body and health;Details;
fitness;sog'lom holat;;B1;noun;body and health;Details;
happiness;baxtlilik;;B1;noun;people: personality;Details;
competitor;raqib;;B1;noun;shopping;Details;
director;direktor;MANAGER;B1;noun;work;Details;
instructor;murabbiy;;B1;noun;work;Details;
relationship;munosabat;TWO PEOPLE/GROUPS;B1;noun;relationships;Details;
friendship;do'stlik;;B1;noun;relationships;Details;
championship;championat;;B1;noun;shopping;Details;
enquiry;so'rov;QUESTION;B1;noun;communication;Details;
delivery;yetkazib berish;;B1;noun;people: actions;Details;
killer;qotil;;B1;noun;crime;Details;
murderer;odamöldiruvchi;;B1;noun;crime;Details;
ant;cheqqa;;B1;noun;animals;Details;
bat;yaropli;ANIMAL;B1;noun;animals;Details;
bee;ari;;B1;noun;animals;Details;
bug;hasharot;INSECT;B1;noun;animals;Details;
bull;buq?;;B1;noun;animals;Details;
butterfly;kapalak;;B1;noun;animals;Details;
cage;qafas;;B1;noun;animals;Details;
calf;muzboqa;ANIMAL;B1;noun;animals;Details;
camel;tuya;;B1;noun;animals;Details;
creature;mahluk;;B1;noun;animals;Details;
dolphin;delgin;;B1;noun;animals;Details;
donkey;eshak;;B1;noun;animals;Details;
fly;pashsha;;B1;noun;animals;Details;
frog;baqa;;B1;noun;animals;Details;
giraffe;zirafa;;B1;noun;animals;Details;
goat;echki;;B1;noun;animals;Details;
kangaroo;kanguru;;B1;noun;animals;Details;
kitten;mushuk bolasi;;B1;noun;animals;Details;
mosquito;sivrisinek;;B1;noun;animals;Details;
parrot;tovus qu??;;B1;noun;animals;Details;
penguin;pingvin;;B1;noun;animals;Details;
puppy;it bolasi;;B1;noun;animals;Details;
shark;akula;;B1;noun;animals;Details;
fur;po'st;;B1;noun;animals;Details;
act;harakat;THEATRE;B1;noun;arts and media;Details;
ad;reklama;;B1;noun;arts and media;Details;
advert;e'lon;;B1;noun;arts and media;Details;
article;maqola;NEWSPAPER;B1;noun;arts and media;Details;
biography;biografiya;;B1;noun;arts and media;Details;
chapter;bob;;B1;noun;arts and media;Details;
character;qahram?n;IN A STORY;B1;noun;arts and media;Details;
chat show;suhbat dasturi;;B1;noun;arts and media;Details;
circus;sirk;;B1;noun;arts and media;Details;
disc;disk;RECORDING;B1;noun;arts and media;Details;
display;displey;ARRANGEMENT;B1;noun;arts and media;Details;
documentary;hujjatli film;;B1;noun;arts and media;Details;
festival;festival;PERFORMANCES;B1;noun;arts and media;Details;
flute;ney;;B1;noun;arts and media;Details;
gallery;galereya;;B1;noun;arts and media;Details;
headline;sarlavha;IN NEWSPAPER;B1;noun;arts and media;Details;
hero;qahram?n;BOOK/FILM;B1;noun;arts and media;Details;
novel;roman;;B1;noun;arts and media;Details;
paper;qogoz;NEWSPAPER;B1;noun;arts and media;Details;
part;qism;FILM/PLAY;B1;noun;arts and media;Details;
picture;rasm;FILM;B1;noun;arts and media;Details;
poem;she'r;;B1;noun;arts and media;Details;
poet;shoir;;B1;noun;arts and media;Details;
record;yozuv;SONG/MUSIC;B1;noun;arts and media;Details;
role;rol;ACTING;B1;noun;arts and media;Details;
scene;stsena;FILM/BOOK, ETC.;B1;noun;arts and media;Details;
series;serial;BROADCASTS;B1;noun;arts and media;Details;
soap;sovun;TELEVISION PROGRAMME;B1;noun;arts and media;Details;
cable;kabel;TELEVISION/TELEPHONE;B1;noun;arts and media;Details;
culture;madaniyat;ARTS;B1;noun;arts and media;Details;
fiction;badiiy adabiyot;STORIES;B1;noun;arts and media;Details;
folk;xalq;;B1;noun;arts and media;Details;
literature;adabiyot;BOOKS;B1;noun;arts and media;Details;
poetry;she'riyat;;B1;noun;arts and media;Details;
science fiction;fantastika;;B1;noun;arts and media;Details;
ballet;ballet;;B1;noun;arts and media;Details;
comedy;komediya;;B1;noun;arts and media;Details;
drama;drama;THEATRE;B1;noun;arts and media;Details;
sculpture;haykaltaroshlik;;B1;noun;arts and media;Details;
contents;tarkib;INFORMATION;B1;noun;arts and media;Details;
graphics;grafika;;B1;noun;arts and media;Details;
advertise;reklama qilmoq;TRY TO SELL;B1;verb;arts and media;Details;
ache;;;B1;noun;body and health;Details;
ankle;;;B1;noun;body and health;Details;
body;;NOT ARMS/LEGS;B1;noun;body and health;Details;
bottom;;BODY PART;B1;noun;body and health;Details;
breast;;;B1;noun;body and health;Details;
cheek;;;B1;noun;body and health;Details;
chin;;;B1;noun;body and health;Details;
cough;;;B1;noun;body and health;Details;
cut;;INJURY;B1;noun;body and health;Details;
diet;;WEIGHT LOSS;B1;noun;body and health;Details;
elbow;;;B1;noun;body and health;Details;
forehead;;;B1;noun;body and health;Details;
heart attack;;;B1;noun;body and health;Details;
human;;;B1;noun;body and health;Details;
knee;;;B1;noun;body and health;Details;
lip;;;B1;noun;body and health;Details;
patient;;;B1;noun;body and health;Details;
pill;;;B1;noun;body and health;Details;
shoulder;;BODY;B1;noun;body and health;Details;
breath;;AIR;B1;noun;body and health;Details;
flu;;;B1;noun;body and health;Details;
sight;;ABILITY TO SEE;B1;noun;body and health;Details;
aspirin;;;B1;noun;body and health;Details;
backache;;;B1;noun;body and health;Details;
bandage;;;B1;noun;body and health;Details;
birth;;BABY;B1;noun;body and health;Details;
bone;;IN BODY;B1;noun;body and health;Details;
disease;;;B1;noun;body and health;Details;
earache;;;B1;noun;body and health;Details;
fever;;ILLNESS;B1;noun;body and health;Details;
skin;;BODY;B1;noun;body and health;Details;
beat;;HEART;B1;verb;body and health;Details;
bleed;;;B1;verb;body and health;Details;
recover;;HEALTH;B1;verb;body and health;Details;
burn;;HURT BODY;B1;verb;body and health;Details;
breathe;;;B1;verb;body and health;Details;
bracelet;;;B1;noun;clothes;Details;
button;;ON CLOTHING;B1;noun;clothes;Details;
collar;;PART OF CLOTHES;B1;noun;clothes;Details;
heel;;SHOE PART;B1;noun;clothes;Details;
pullover;;;B1;noun;clothes;Details;
sandal;;;B1;noun;clothes;Details;
sleeve;;CLOTHING;B1;noun;clothes;Details;
knickers;;;B1;noun;clothes;Details;
pants;;;B1;noun;clothes;Details;
dress;;WEAR PARTICULAR CLOTHES;B1;verb;clothes;Details;
accent;;PRONUNCIATION;B1;noun;communication;Details;
alarm;;WARNING;B1;noun;communication;Details;
alphabet;;;B1;noun;communication;Details;
brochure;;;B1;noun;communication;Details;
call;;SHOUT;B1;noun;communication;Details;
card;;INFORMATION;B1;noun;communication;Details;
certificate;;;B1;noun;communication;Details;
comma;;;B1;noun;communication;Details;
comment;;THING SAID;B1;noun;communication;Details;
consonant;;;B1;noun;communication;Details;
cry;;;B1;noun;communication;Details;
demand;;REQUEST;B1;noun;communication;Details;
diagram;;;B1;noun;communication;Details;
entry;;INFORMATION;B1;noun;communication;Details;
excuse;;REASON;B1;noun;communication;Details;
figure;;NUMBER;B1;noun;communication;Details;
form;;GRAMMAR;B1;noun;communication;Details;
full stop;;;B1;noun;communication;Details;
guess;;;B1;noun;communication;Details;
identity card;;;B1;noun;communication;Details;
inquiry;;QUESTION;B1;noun;communication;Details;
interview;;FOR JOB;B1;noun;communication;Details;
issue;;SUBJECT;B1;noun;communication;Details;
joke;;FUNNY;B1;noun;communication;Details;
label;;INFORMATION;B1;noun;communication;Details;
lie;;;B1;noun;communication;Details;
line;;WORDS;B1;noun;communication;Details;
logo;;;B1;noun;communication;Details;
paragraph;;;B1;noun;communication;Details;
photocopy;;;B1;noun;communication;Details;
phrase;;;B1;noun;communication;Details;
point;;IDEA;B1;noun;communication;Details;
prayer;;;B1;noun;communication;Details;
promise;;SAY;B1;noun;communication;Details;
question mark;;;B1;noun;communication;Details;
questionnaire;;;B1;noun;communication;Details;
scream;;;B1;noun;communication;Details;
shout;;;B1;noun;communication;Details;
signature;;;B1;noun;communication;Details;
contact;;COMMUNICATION;B1;noun;communication;Details;
language;;COMMUNICATION;B1;noun;communication;Details;
notice;;WARNING;B1;noun;communication;Details;
apology;;;B1;noun;communication;Details;
complaint;;SOMETHING WRONG;B1;noun;communication;Details;
ink;;;B1;noun;communication;Details;
material;;DOCUMENTS;B1;noun;communication;Details;
reply;;;B1;noun;communication;Details;
request;;;B1;noun;communication;Details;
apologise;;;B1;verb;communication;Details;
argue;;DISAGREE;B1;verb;communication;Details;
complain;;;B1;verb;communication;Details;
count;;SAY NUMBERS;B1;verb;communication;Details;
insist;;DEMAND;B1;verb;communication;Details;
