Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details;
politically;;;C1;;;Details;
or;;REASON;C1;;;Details;
establishment;;ORGANIZATION;C1;noun;work;Details;
telly;;;C1;noun;arts and media;Details;
assert;;;C1;verb;communication;Details;
notify;;;C1;verb;communication;Details;
conclude;;END;C1;verb;communication;Details;
joint;;PLACE;C1;noun;homes and buildings;Details;
rip-off;;;C1;noun;money;Details;
observe;;NOTICE;C1;verb;people: actions;Details;
undertake;;DO;C1;verb;people: actions;Details;
resume;;;C1;verb;people: actions;Details;
regard;;RESPECT;C1;noun;people: personality;Details;
insert;;PUT INTO;C1;verb;;Details;
unwind;;RELAX;C1;verb;;Details;
occupation;;HOBBY;C1;noun;;Details;
specification;;;C1;noun;;Details;
clarification;;;C1;noun;;Details;
garment;;;C1;noun;;Details;
duration;;;C1;noun;;Details;
merit;;;C1;noun;;Details;
nature;;TYPE;C1;noun;;Details;
permit;;MAKE POSSIBLE;C1;verb;;Details;
acknowledge;;SAY RECEIVED;C1;verb;;Details;
aid;;;C1;verb;;Details;
comprise;;CONSIST;C1;verb;;Details;
desire;;;C1;verb;;Details;
employ;;USE;C1;verb;;Details;
engage;;;C1;verb;;Details;
enhance;;;C1;verb;;Details;
evaluate;;;C1;verb;;Details;
facilitate;;;C1;verb;;Details;
perceive;;THINK;C1;verb;;Details;
rectify;;;C1;verb;;Details;
render;;GIVE;C1;verb;;Details;
oblige;;;C1;verb;;Details;
junk;;;C1;noun;;Details;
birth;;BEGINNING;C1;noun;;Details;
kill;;CAUSE PAIN;C1;verb;;Details;
disapproval;;;C1;noun;people: personality;Details;
dismissal;;JOB;C1;noun;work;Details;
installation;;SOFTWARE;C1;noun;technology;Details;
interaction;;;C1;noun;communication;Details;
reconstruction;;BUILD AGAIN;C1;noun;homes and buildings;Details;
unwillingness;;;C1;noun;people: personality;Details;
disorder;;ILLNESS;C1;noun;body and health;Details;
disrespect;;;C1;noun;people: personality;Details;
import;;PRODUCT;C1;noun;shopping;Details;
mislead;;;C1;verb;communication;Details;
reassure;;;C1;verb;communication;Details;
reflect;;THINK;C1;verb;people: actions;Details;
reconstruct;;BUILD AGAIN;C1;verb;people: actions;Details;
unfold;;OPEN;C1;verb;people: actions;Details;
refusal;;;C1;noun;communication;Details;
professional;;TRAINED;C1;noun;work;Details;
assurance;;PROMISE;C1;noun;communication;Details;
allowance;;MONEY;C1;noun;money;Details;
reference;;READING;C1;noun;communication;Details;
reminder;;;C1;noun;communication;Details;
leader;;WINNER;C1;noun;shopping;Details;
adviser;;;C1;noun;work;Details;
miner;;;C1;noun;work;Details;
striker;;WORKER;C1;noun;work;Details;
funding;;;C1;noun;money;Details;
sewing;;;C1;noun;people: actions;Details;
illustration;;PICTURE;C1;noun;arts and media;Details;
allegation;;;C1;noun;communication;Details;
suspicion;;THINK GUILTY;C1;noun;crime;Details;
supervision;;;C1;noun;people: actions;Details;
demonstration;;SHOWING;C1;noun;people: actions;Details;
reception;;REACTION;C1;noun;people: personality;Details;
constitution;;LAWS;C1;noun;politics;Details;
qualification;;COMPETITION;C1;noun;shopping;Details;
congestion;;;C1;noun;travel;Details;
transportation;;;C1;noun;travel;Details;
therapist;;;C1;noun;homes and buildings;Details;
optimist;;;C1;noun;people: personality;Details;
socialist;;;C1;noun;politics;Details;
archaeologist;;;C1;noun;work;Details;
obesity;;;C1;noun;body and health;Details;
prosperity;;;C1;noun;money;Details;
sensitivity;;KIND;C1;noun;people: personality;Details;
hospitality;;;C1;noun;relationships;Details;
capacity;;JOB;C1;noun;work;Details;
summarize;;;C1;verb;communication;Details;
blindness;;NOT SEEING;C1;noun;body and health;Details;
nervousness;;;C1;noun;people: personality;Details;
rudeness;;;C1;noun;people: personality;Details;
selfishness;;;C1;noun;people: personality;Details;
shyness;;;C1;noun;people: personality;Details;
predator;;;C1;noun;animals;Details;
solicitor;;;C1;noun;work;Details;
successor;;PERSON;C1;noun;work;Details;
supervisor;;;C1;noun;work;Details;
scholarship;;;C1;noun;education;Details;
sponsorship;;;C1;noun;money;Details;
leadership;;QUALITY;C1;noun;people: personality;Details;
abortion;;;C1;noun;body and health;Details;
beak;;;C1;noun;animals;Details;
horn;;ANIMAL;C1;noun;animals;Details;
mammal;;;C1;noun;animals;Details;
pony;;;C1;noun;animals;Details;
reptile;;;C1;noun;animals;Details;
extra;;ACTOR;C1;noun;arts and media;Details;
index;;;C1;noun;arts and media;Details;
sketch;;PICTURE;C1;noun;arts and media;Details;
tune;;MUSICAL NOTES;C1;noun;arts and media;Details;
cinema;;ART;C1;noun;arts and media;Details;
coverage;;REPORT;C1;noun;arts and media;Details;
techno;;;C1;noun;arts and media;Details;
subtitles;;;C1;noun;arts and media;Details;
run;;PUBLISH;C1;verb;arts and media;Details;
gene;;;C1;noun;body and health;Details;
organ;;BODY;C1;noun;body and health;Details;
pulse;;;C1;noun;body and health;Details;
side effect;;MEDICINE;C1;noun;body and health;Details;
spine;;;C1;noun;body and health;Details;
cholesterol;;;C1;noun;body and health;Details;
digestion;;;C1;noun;body and health;Details;
health care;;;C1;noun;body and health;Details;
posture;;;C1;noun;body and health;Details;
stamina;;;C1;noun;body and health;Details;
deodorant;;;C1;noun;body and health;Details;
pregnancy;;;C1;noun;body and health;Details;
react;;BAD EFFECT;C1;verb;body and health;Details;
carry;;DISEASE;C1;verb;body and health;Details;
digest;;FOOD;C1;verb;body and health;Details;
infect;;DISEASE;C1;verb;body and health;Details;
twist;;INJURE;C1;verb;body and health;Details;
relax;;LESS STIFF;C1;verb;body and health;Details;
starve;;;C1;verb;body and health;Details;
stocking;;;C1;noun;clothes;Details;
look;;FASHION;C1;noun;clothes;Details;
appeal;;REQUEST;C1;noun;communication;Details;
character;;WRITING;C1;noun;communication;Details;
claim;;STATEMENT;C1;noun;communication;Details;
mark;;SYMBOL;C1;noun;communication;Details;
memo;;;C1;noun;communication;Details;
slogan;;;C1;noun;communication;Details;
jargon;;;C1;noun;communication;Details;
language;;TYPE OF WORDS;C1;noun;communication;Details;
slang;;;C1;noun;communication;Details;
attack;;CRITICIZE;C1;verb;communication;Details;
clarify;;;C1;verb;communication;Details;
illustrate;;EXPLAIN;C1;verb;communication;Details;
instruct;;ORDER;C1;verb;communication;Details;
interpret;;DECIDE MEANING;C1;verb;communication;Details;
invite;;ASK OFFICIALLY;C1;verb;communication;Details;
motivate;;ENTHUSIASTIC;C1;verb;communication;Details;
release;;INFORMATION;C1;verb;communication;Details;
settle;;ARGUMENT;C1;verb;communication;Details;
skip;;AVOID;C1;verb;communication;Details;
support;;PROVE;C1;verb;communication;Details;
call;;ASK TO COME;C1;verb;communication;Details;
quote;;REPEAT;C1;verb;communication;Details;
magistrate;;;C1;noun;crime;Details;
defend;;LAW;C1;verb;crime;Details;
smuggle;;;C1;verb;crime;Details;
angle;;SPACE;C1;noun;describing things;Details;
strip;;;C1;noun;describing things;Details;
length;;BOOK, ETC.;C1;noun;describing things;Details;
dissertation;;;C1;noun;education;Details;
scholar;;;C1;noun;education;Details;
date;;FRUIT;C1;noun;food and drink;Details;
feast;;;C1;noun;food and drink;Details;
pastry;;CAKE;C1;noun;food and drink;Details;
spirit;;DRINK;C1;noun;food and drink;Details;
fibre;;;C1;noun;food and drink;Details;
mustard;;;C1;noun;food and drink;Details;
soya;;;C1;noun;food and drink;Details;
appetite;;FOOD;C1;noun;food and drink;Details;
cereal;;PLANT;C1;noun;food and drink;Details;
beat;;FOOD;C1;verb;food and drink;Details;
sip;;;C1;verb;food and drink;Details;
cabin;;HOUSE;C1;noun;homes and buildings;Details;
landmark;;BUILDING;C1;noun;homes and buildings;Details;
lounge;;;C1;noun;homes and buildings;Details;
mansion;;;C1;noun;homes and buildings;Details;
staircase;;;C1;noun;homes and buildings;Details;
premises;;;C1;noun;homes and buildings;Details;
crash;;BUSINESS;C1;noun;money;Details;
fund;;;C1;noun;money;Details;
