Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details;;
albeit;;;C2;;;Details;;
insofar as;;;C2;;;Details;;
however;;;C2;;;Details;;
only;;;C2;;communication;Details;;
caution;;;C2;verb;communication;Details;;
narrative;;;C2;noun;arts and media;Details;;
contract;;DISEASE;C2;verb;body and health;Details;;
address;;SPEAK;C2;verb;communication;Details;;
measure;;AMOUNT;C2;noun;describing things;Details;;
mountain;;PILE;C2;noun;describing things;Details;;
discipline;;KNOWLEDGE;C2;noun;education;Details;;
expenditure;;;C2;noun;money;Details;;
lad;;;C2;noun;people: appearance;Details;;
click;;PEOPLE;C2;verb;relationships;Details;;
inhabit;;;C2;verb;;Details;;
infant;;;C2;noun;;Details;;
inquiry;;ASKING QUESTIONS;C2;noun;;Details;;
elapse;;;C2;verb;;Details;;
excel;;BE GOOD;C2;verb;;Details;;
applaud;;PRAISE;C2;verb;;Details;;
compromise;;HARM;C2;verb;;Details;;
deem;;;C2;verb;;Details;;
disclose;;;C2;verb;;Details;;
endorse;;;C2;verb;;Details;;
enjoy;;GOOD SITUATION;C2;verb;;Details;;
eradicate;;;C2;verb;;Details;;
erode;;DESTROY;C2;verb;;Details;;
examine;;TEST;C2;verb;;Details;;
exemplify;;;C2;verb;;Details;;
exercise;;USE;C2;verb;;Details;;
infer;;;C2;verb;;Details;;
merit;;;C2;verb;;Details;;
commence;;;C2;verb;;Details;;
carrot;;REWARD;C2;noun;;Details;;
character;;PERSON;C2;noun;;Details;;
crush;;LOVE;C2;noun;;Details;;
dump;;UNTIDY PLACE;C2;noun;;Details;;
gang;;FRIENDS;C2;noun;;Details;;
kick;;FEELING;C2;noun;;Details;;
guts;;ORGANS;C2;noun;;Details;;
hit;;THINK;C2;verb;;Details;;
land;;COUNTRY;C2;noun;;Details;;
devil;;BADLY-BEHAVED PERSON;C2;noun;;Details;;
intolerance;;;C2;noun;people: personality;Details;;
impatience;;;C2;noun;people: personality;Details;;
intruder;;CRIME;C2;noun;crime;Details;;
disgust;;;C2;noun;people: personality;Details;;
import;;ACTIVITY;C2;noun;work;Details;;
insomnia;;;C2;noun;body and health;Details;;
introvert;;;C2;noun;people: personality;Details;;
intervene;;;C2;verb;people: actions;Details;;
misinterpret;;;C2;verb;communication;Details;;
assurance;;CONFIDENCE;C2;noun;people: personality;Details;;
ignorance;;;C2;noun;people: personality;Details;;
coherence;;CLEAR;C2;noun;communication;Details;;
innocence;;NOT EXPERIENCED;C2;noun;people: personality;Details;;
observer;;;C2;noun;people: actions;Details;;
master;;SKILLED PERSON;C2;noun;people: personality;Details;;
monster;;PERSON;C2;noun;people: personality;Details;;
counter;;DISC;C2;noun;shopping;Details;;
composition;;ARRANGEMENT;C2;noun;arts and media;Details;;
complexion;;;C2;noun;body and health;Details;;
complication;;MEDICAL PROBLEM;C2;noun;body and health;Details;;
constitution;;HEALTH;C2;noun;body and health;Details;;
legislation;;;C2;noun;crime;Details;;
conviction;;CRIME;C2;noun;crime;Details;;
devastation;;;C2;noun;describing things;Details;;
concession;;LOW PRICE;C2;noun;money;Details;;
depression;;ECONOMY;C2;noun;money;Details;;
disposition;;;C2;noun;people: personality;Details;;
irritation;;;C2;noun;people: personality;Details;;
attraction;;FEELING;C2;noun;relationships;Details;;
mission;;JOB;C2;noun;work;Details;;
capitalism;;;C2;noun;politics;Details;;
materialist;;;C2;noun;people: personality;Details;;
longevity;;;C2;noun;body and health;Details;;
mortality;;;C2;noun;body and health;Details;;
clarity;;;C2;noun;communication;Details;;
hostility;;;C2;noun;people: personality;Details;;
humanity;;KINDNESS;C2;noun;people: personality;Details;;
humility;;;C2;noun;people: personality;Details;;
integrity;;;C2;noun;people: personality;Details;;
imprisonment;;;C2;noun;crime;Details;;
fulfilment;;PLEASURE;C2;noun;people: personality;Details;;
appointment;;JOB;C2;noun;work;Details;;
cheerfulness;;;C2;noun;people: personality;Details;;
coldness;;CHARACTER;C2;noun;people: personality;Details;;
coolness;;CALM;C2;noun;people: personality;Details;;
narrator;;;C2;noun;arts and media;Details;;
counsellor;;;C2;noun;work;Details;;
contraception;;;C2;noun;body and health;Details;;
extremist;;;C2;noun;politics;Details;;
contraceptive;;;C2;noun;body and health;Details;;
cry;;ANIMAL/BIRD;C2;noun;animals;Details;;
nest;;BIRDS;C2;noun;animals;Details;;
bow;;MUSIC;C2;noun;arts and media;Details;;
feature;;NEWSPAPER;C2;noun;arts and media;Details;;
flashback;;STORY;C2;noun;arts and media;Details;;
house;;THEATRE;C2;noun;arts and media;Details;;
masterpiece;;;C2;noun;arts and media;Details;;
melody;;;C2;noun;arts and media;Details;;
note;;MUSIC;C2;noun;arts and media;Details;;
brass;;MUSIC;C2;noun;arts and media;Details;;
harmony;;MUSIC;C2;noun;arts and media;Details;;
accompany;;MUSIC;C2;verb;arts and media;Details;;
antibiotic;;;C2;noun;body and health;Details;;
blister;;;C2;noun;body and health;Details;;
calf;;LEG;C2;noun;body and health;Details;;
case;;ILLNESS;C2;noun;body and health;Details;;
corpse;;;C2;noun;body and health;Details;;
disc;;BACK;C2;noun;body and health;Details;;
donor;;BLOOD/ORGANS;C2;noun;body and health;Details;;
fist;;;C2;noun;body and health;Details;;
joint;;BODY PART;C2;noun;body and health;Details;;
kidney;;;C2;noun;body and health;Details;;
knuckle;;;C2;noun;body and health;Details;;
needle;;MEDICAL;C2;noun;body and health;Details;;
nerve;;PART OF THE BODY;C2;noun;body and health;Details;;
nostril;;;C2;noun;body and health;Details;;
